CUSTOMER                      ,PAYEE                         ,PROC/PAY DATE       ,EFFECT/GOOD FUNDS/CH,CHECK/PAYMENT TRACE NUMBER    ,TOTAL CRED
HOME DEPOT U.S.A., INC.       ,BOTANICAL ELEMENTS, INC.      ,20120210            ,                    ,'2000418762                   ,0000071.18

INVOICE DATE                  ,INVOICE/CREDIT MEMO NUMBER    ,PO NUMBER           ,OUTBOUND-FROM PARTY ,RETURN GOODS AUTH NUMBER ,STORE NUMBER   ,NET AMOUNT,ADJUSTMENT,GROSS AMOUNT   ,ORIGINAL INVOICE NUMBER  ,ADJUSTMENT REASON        ,NOTES,DOCUMENT DATE                 ,OTHER DISC AMT      ,DEPT NUMBER         
20120126                      ,'                             ,'0083020093         ,                    ,                         ,               ,0000012.13,0000000000,000000000012.25,                         ,                         ,,20120126                      ,0000000000,'                   
20120126                      ,'                             ,'0024007106         ,                    ,                         ,               ,0000003.46,0000000000,0000000000003.5,                         ,                         ,,20120126                      ,0000000000,'                   
20120126                      ,'                             ,'0022028956         ,                    ,                         ,               ,0000003.46,0000000000,0000000000003.5,                         ,                         ,,20120126                      ,0000000000,'                   
20120127                      ,'                             ,'0026089219         ,                    ,                         ,               ,0000003.46,0000000000,0000000000003.5,                         ,                         ,,20120127                      ,0000000000,'                   
20120127                      ,'                             ,'0001001828         ,                    ,                         ,               ,0000003.46,0000000000,0000000000003.5,                         ,                         ,,20120127                      ,0000000000,'                   
20120126                      ,'                             ,'0002080924         ,                    ,                         ,               ,0000003.46,0000000000,0000000000003.5,                         ,                         ,,20120126                      ,0000000000,'                   
20120127                      ,'                             ,'0006001337         ,                    ,                         ,               ,0000003.46,0000000000,0000000000003.5,                         ,                         ,,20120127                      ,0000000000,'                   
20120127                      ,'                             ,'0083020107         ,                    ,                         ,               ,0000003.46,0000000000,0000000000003.5,                         ,                         ,,20120127                      ,0000000000,'                   
20120127                      ,'                             ,'0038077283         ,                    ,                         ,               ,0000012.87,0000000000,000000000000013,                         ,                         ,,20120127                      ,0000000000,'                   
20120127                      ,'                             ,'0024004125         ,                    ,                         ,               ,00000005.2,0000000000,000000000005.25,                         ,                         ,,20120127                      ,0000000000,'                   
20120126                      ,'                             ,'0087067757         ,                    ,                         ,               ,0000002.47,0000000000,0000000000002.5,                         ,                         ,,20120126                      ,0000000000,'                   
20120126                      ,'                             ,'0076083162         ,                    ,                         ,               ,0000002.47,0000000000,0000000000002.5,                         ,                         ,,20120126                      ,0000000000,'                   
20120126                      ,'                             ,'0026089208         ,                    ,                         ,               ,00000009.9,0000000000,000000000000010,                         ,                         ,,20120126                      ,0000000000,'                   
20120127                      ,'                             ,'0048049573         ,                    ,                         ,               ,0000001.73,0000000000,000000000001.75,                         ,                         ,,20120127                      ,0000000000,'                   
20120126                      ,'                             ,'0016065957         ,                    ,                         ,               ,0000001.73,0000000000,000000000001.75,                         ,                         ,,20120126                      ,0000000000,'                   
20120126                      ,'                             ,'0013042953         ,                    ,                         ,               ,0000001.73,0000000000,000000000001.75,                         ,                         ,,20120126                      ,0000000000,'                   
20120127                      ,'                             ,'0002073334         ,                    ,                         ,               ,0000001.73,0000000000,000000000001.75,                         ,                         ,,20120127                      ,0000000000,'                   
20120208                      ,'                             ,'CONSIGNM           ,                    ,                         ,               ,00000002.5,0000000000,0000000000002.5,                         ,                         ,,20120208                      ,0000000000,'                   
20120208                      ,'                             ,'CONSIGNM           ,                    ,                         ,               ,00000002.5,0000000000,0000000000002.5,                         ,                         ,,20120208                      ,0000000000,'                   
